"","OTU_57","OTU_53","OTU_59","OTU_56","OTU_13","OTU_11","OTU_48","OTU_51","OTU_43","OTU_50","OTU_36","OTU_32","OTU_34","OTU_19","OTU_14","OTU_20","OTU_35","OTU_33","OTU_4","OTU_44","OTU_46","OTU_42","OTU_38","OTU_41","OTU_39","OTU_16","OTU_2","OTU_10","OTU_17","OTU_47","OTU_54","OTU_55","OTU_49","OTU_15","OTU_5","OTU_40","OTU_12","OTU_7","OTU_8","OTU_21","OTU_18","OTU_45","OTU_6","OTU_30","OTU_25","OTU_29","OTU_3","OTU_22","OTU_1","OTU_31","OTU_27","OTU_9","OTU_23","OTU_58","OTU_28","OTU_52","OTU_26","OTU_37","OTU_24"
"ADE_21_00449",18789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00450",425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00451",0,0,74414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18863,0,0,0,0,0,0,0,12840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"ADE_21_00452",41999,8007,0,0,6509,0,0,0,0,0,0,0,0,0,15496,0,0,0,0,0,0,0,0,0,0,8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00453",22051,8823,42013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12163,0,0,0,0,0,9646,5047,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00454",11923,0,57562,0,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,23734,0,0,0,0,0,0,3494,3724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00456",0,0,42612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27857,0,0,0,0,0,0,0,0,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00457",18141,0,0,0,0,0,0,27109,0,0,0,0,0,0,0,0,0,0,4208,0,0,0,0,0,7413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00458",0,0,0,0,41376,0,0,28999,0,0,0,0,0,0,0,0,0,0,11828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00459",31974,0,51735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00460",0,0,0,0,0,0,0,41290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00461",0,0,0,0,0,0,11934,61620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32744,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00463",33331,6745,19679,0,0,0,0,0,0,0,0,0,0,0,6460,0,0,0,14065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
