"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","group","Locus"
"274",11.4133333333333,-0.11438596286236,0.001,0.004,"Depth|2D","yes","Spring2021","16Schord"
"275",14.2666666666667,-0.320403805728781,0.001,0.005,"Depth|2D","yes","Spring2021","16Schord"
"276",17.12,-0.216749059958996,0.001,0.006,"Depth|2D","yes","Spring2021","16Schord"
"277",19.9733333333333,0.122796113335061,0.001,0.007,"Depth|2D","yes","Spring2021","16Schord"
"278",22.8266666666667,0.154910119025423,0.001,0.008,"Depth|2D","yes","Spring2021","16Schord"
"279",25.68,0.198545172345376,0.001,0.009,"Depth|2D","yes","Spring2021","16Schord"
"280",28.5333333333333,0.27890504458546,0.001,0.01,"Depth|2D","yes","Spring2021","16Schord"
"281",31.3866666666667,0.172279729858106,0.001,0.011,"Depth|2D","yes","Spring2021","16Schord"
"282",35.24,0.0152488981666718,0.237,2.844,"Depth|2D","no","Spring2021","16Schord"
"283",73.2079403584048,0.356086916326382,0.001,0.001,"2D|Depth","yes","Spring2021","16Schord"
"284",146.41588071681,0.0485582882054462,0.053,0.106,"2D|Depth","no","Spring2021","16Schord"
"285",219.623821075214,-0.140656561550249,0.001,0.003,"2D|Depth","yes","Spring2021","16Schord"
"286",292.831761433619,-0.039476364993476,0.095,0.38,"2D|Depth","no","Spring2021","16Schord"
"287",366.039701792024,-0.116454500211869,0.002,0.01,"2D|Depth","yes","Spring2021","16Schord"
