"","X","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo","locus","project"
"169","Depth_m",1,0.0423574068083376,2.44314570249975,0.009,0.0725967344119772,0.0503400712792756,"pRDA","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"170","Temperature",1,0.0259935297573961,1.4992886794732,0.127,0.044550540706285,0.0174162786682454,"pRDA","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"171","Salinity",1,0.0254826022898645,1.46981873925148,0.12,0.0436748575977314,0.016388302845161,"pRDA","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"172","Residual1",22,0.381419310698488,NA,NA,NA,NA,"pRDA","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"173","Complete_model",5,11906.5045469243,2.43010319476611,0.036,0.35579304228204,0.209382370073413,"Complete","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"174","Residual",22,21558.1873721658,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"175","Longitude",1,1618.97830751017,1.6521575840467,0.186,0.0483787004949718,0.0224177079755501,"pRDA","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"176","Latitude",1,1574.24724975775,1.60650980978978,0.201,0.0470420362322155,0.0208485803627491,"pRDA","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"177","Depth_m",1,2568.24187400012,2.62087532001658,0.084,0.0767448234757269,0.0557170697355669,"pRDA","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"178","Temperature",1,1127.9057542899,1.15102100960563,0.295,0.0337043519485219,0.00519129881232605,"pRDA","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"179","Salinity",1,1038.91436056066,1.06020582982058,0.327,0.0310450896447072,0.00206955610784809,"pRDA","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"180","Residual1",22,21558.1873721658,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","16Schord","PPO.Leim.VRoy.2019"
"181","Complete_model",5,0.0705055250965675,1.24571104976014,0.056,0.176804163690839,0.0348738470858111,"Complete","Hellinger","16Schord","Godbout_Fall"
"182","Residual",29,0.328271990233072,NA,NA,NA,NA,"Complete","Hellinger","16Schord","Godbout_Fall"
"183","Longitude",1,0.00789960057270389,0.697861600819981,0.889,0.00777302350031394,0.00293996321134504,"pRDA","Hellinger","16Schord","Godbout_Fall"
"184","Latitude",1,0.0118112426554362,1.04342145293742,0.372,0.00799252523931555,0.00316454013506362,"pRDA","Hellinger","16Schord","Godbout_Fall"
"185","Depth_m",1,0.013309198983357,1.17575297923931,0.225,0.00994140640537026,0.00515848213732761,"pRDA","Hellinger","16Schord","Godbout_Fall"
