",""ID_ADNe"",""Site"",""ID_reception"",""Latitude"",""Longitude"",""Depth_CTD"",""Tide"",""Depth_m"",""Temperature"",""Salinity"",""Date"",""Project"",""Locus"""
"79,""ADE_21_00417"",""Godbout"",""2M1-b"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"80,""ADE_21_00417"",""Godbout"",""2M1-b"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"81,""ADE_21_00418"",""Godbout"",""11M3-b"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"82,""ADE_21_00418"",""Godbout"",""11M3-b"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"83,""ADE_21_00418"",""Godbout"",""11M3-b"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"84,""ADE_21_00418"",""Godbout"",""11M3-b"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"85,""ADE_21_00419"",""Godbout"",""6M2-a"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"86,""ADE_21_00419"",""Godbout"",""6M2-a"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"87,""ADE_21_00419"",""Godbout"",""6M2-a"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"88,""ADE_21_00419"",""Godbout"",""6M2-a"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"89,""ADE_21_00420"",""Godbout"",""2M1-a"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"90,""ADE_21_00420"",""Godbout"",""2M1-a"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"91,""ADE_21_00420"",""Godbout"",""2M1-a"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"92,""ADE_21_00420"",""Godbout"",""2M1-a"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"93,""ADE_21_00421"",""Godbout"",""2M1-c"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"94,""ADE_21_00421"",""Godbout"",""2M1-c"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"95,""ADE_21_00421"",""Godbout"",""2M1-c"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"96,""ADE_21_00421"",""Godbout"",""2M1-c"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"97,""ADE_21_00422"",""Godbout"",""2M3-b"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"98,""ADE_21_00422"",""Godbout"",""2M3-b"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"99,""ADE_21_00422"",""Godbout"",""2M3-b"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"100,""ADE_21_00422"",""Godbout"",""2M3-b"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"101,""ADE_21_00423"",""Godbout"",""11M2-b"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"102,""ADE_21_00423"",""Godbout"",""11M2-b"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"103,""ADE_21_00423"",""Godbout"",""11M2-b"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"104,""ADE_21_00423"",""Godbout"",""11M2-b"",""49.300341960042715"",""-67.699011024087667"",""12.3"",""2.1"",10.2,""11.75"",""27.43"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"105,""ADE_21_00424"",""Godbout"",""2M4-c"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
